v4_3,Data Marking,CV,CI+/-,calendar-years,Time,administrative-geography,Geography,sexual-orientation,SexualOrientation,unit-of-measure,UnitOfMeasure
1.9,,c,0.4,2020,2020,E12000001,North East,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
26,,c,10,2020,2020,E12000001,North East,bisexual,Bisexual,number,Number
14,,d,8,2020,2020,E12000001,North East,other,Other,number,Number
38,,c,13,2020,2020,E12000001,North East,gay-or-lesbian,Gay or lesbian,number,Number
2026,,a,19,2020,2020,E12000001,North East,heterosexual-or-straight,Heterosexual or straight,number,Number
1.2,,c,0.4,2020,2020,E12000001,North East,bisexual,Bisexual,percentage,Percentage
94.4,,a,0.9,2020,2020,E12000001,North East,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
41,,c,8,2020,2020,E12000001,North East,dont-know-or-refuse,Don't know or refuse,number,Number
47,,c,15,2020,2020,E12000003,Yorkshire and The Humber,bisexual,Bisexual,number,Number
93,,a,0.9,2020,2020,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
4077,,a,40,2020,2020,E12000003,Yorkshire and The Humber,heterosexual-or-straight,Heterosexual or straight,number,Number
0.4,,d,0.2,2020,2020,E12000003,Yorkshire and The Humber,other,Other,percentage,Percentage
1.1,,c,0.3,2020,2020,E12000003,Yorkshire and The Humber,bisexual,Bisexual,percentage,Percentage
169,,b,26,2020,2020,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,number,Number
73,,c,23,2020,2020,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,number,Number
3.9,,b,0.6,2020,2020,E12000003,Yorkshire and The Humber,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
17,,d,8,2020,2020,E12000003,Yorkshire and The Humber,other,Other,number,Number
1.7,,c,0.5,2020,2020,E12000003,Yorkshire and The Humber,gay-or-lesbian,Gay or lesbian,percentage,Percentage
