v4_1,Data Marking,calendar-years,Time,nuts,geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,quarterly-index-and-growth-rate,GrowthRate
100.2,,2020,2020,UKD,North West,J,J,cvm,Chained volume measure,aix,Annual index
0.2,,2020,2020,UKD,North West,J,J,cvm,Chained volume measure,gra,Annual growth rate
96.8,,2020,2020,UKD,North West,K,K,cvm,Chained volume measure,aix,Annual index
-3.2,,2020,2020,UKD,North West,K,K,cvm,Chained volume measure,gra,Annual growth rate
107.5,,2020,2020,UKD,North West,L,L,cvm,Chained volume measure,aix,Annual index
7.5,,2020,2020,UKD,North West,L,L,cvm,Chained volume measure,gra,Annual growth rate
93.5,,2020,2020,UKD,North West,M,M,cvm,Chained volume measure,aix,Annual index
-6.5,,2020,2020,UKD,North West,M,M,cvm,Chained volume measure,gra,Annual growth rate
93.4,,2020,2020,UKD,North West,N,N,cvm,Chained volume measure,aix,Annual index
-6.6,,2020,2020,UKD,North West,N,N,cvm,Chained volume measure,gra,Annual growth rate
99.6,,2020,2020,UKD,North West,O,O,cvm,Chained volume measure,aix,Annual index
-0.4,,2020,2020,UKD,North West,O,O,cvm,Chained volume measure,gra,Annual growth rate
79.9,,2020,2020,UKD,North West,P,P,cvm,Chained volume measure,aix,Annual index
-20.1,,2020,2020,UKD,North West,P,P,cvm,Chained volume measure,gra,Annual growth rate
83.5,,2020,2020,UKD,North West,Q,Q,cvm,Chained volume measure,aix,Annual index
-16.5,,2020,2020,UKD,North West,Q,Q,cvm,Chained volume measure,gra,Annual growth rate
70,,2020,2020,UKD,North West,R,R,cvm,Chained volume measure,aix,Annual index
-30,,2020,2020,UKD,North West,R,R,cvm,Chained volume measure,gra,Annual growth rate
84.3,,2020,2020,UKD,North West,S,S,cvm,Chained volume measure,aix,Annual index
-15.7,,2020,2020,UKD,North West,S,S,cvm,Chained volume measure,gra,Annual growth rate
73.6,,2020,2020,UKD,North West,T,T,cvm,Chained volume measure,aix,Annual index
-26.4,,2020,2020,UKD,North West,T,T,cvm,Chained volume measure,gra,Annual growth rate
92.8,,2020,2020,UKE,Yorkshire and The Humber,A,A,cvm,Chained volume measure,aix,Annual index
-7.2,,2020,2020,UKE,Yorkshire and The Humber,A,A,cvm,Chained volume measure,gra,Annual growth rate
88.2,,2020,2020,UKE,Yorkshire and The Humber,A--T,A--T,cvm,Chained volume measure,aix,Annual index
-11.8,,2020,2020,UKE,Yorkshire and The Humber,A--T,A--T,cvm,Chained volume measure,gra,Annual growth rate
95.7,,2020,2020,UKE,Yorkshire and The Humber,B,B,cvm,Chained volume measure,aix,Annual index
-4.3,,2020,2020,UKE,Yorkshire and The Humber,B,B,cvm,Chained volume measure,gra,Annual growth rate
91.7,,2020,2020,UKE,Yorkshire and The Humber,B--E,B--E,cvm,Chained volume measure,aix,Annual index
-8.3,,2020,2020,UKE,Yorkshire and The Humber,B--E,B--E,cvm,Chained volume measure,gra,Annual growth rate
91,,2020,2020,UKE,Yorkshire and The Humber,C,C,cvm,Chained volume measure,aix,Annual index
-9,,2020,2020,UKE,Yorkshire and The Humber,C,C,cvm,Chained volume measure,gra,Annual growth rate
94.1,,2020,2020,UKE,Yorkshire and The Humber,D,D,cvm,Chained volume measure,aix,Annual index
-5.9,,2020,2020,UKE,Yorkshire and The Humber,D,D,cvm,Chained volume measure,gra,Annual growth rate
96.9,,2020,2020,UKE,Yorkshire and The Humber,E,E,cvm,Chained volume measure,aix,Annual index
-3.1,,2020,2020,UKE,Yorkshire and The Humber,E,E,cvm,Chained volume measure,gra,Annual growth rate
77.7,,2020,2020,UKE,Yorkshire and The Humber,F,F,cvm,Chained volume measure,aix,Annual index
-22.3,,2020,2020,UKE,Yorkshire and The Humber,F,F,cvm,Chained volume measure,gra,Annual growth rate
87.4,,2020,2020,UKE,Yorkshire and The Humber,G,G,cvm,Chained volume measure,aix,Annual index
-12.6,,2020,2020,UKE,Yorkshire and The Humber,G,G,cvm,Chained volume measure,gra,Annual growth rate
88.2,,2020,2020,UKE,Yorkshire and The Humber,G--T,G--T,cvm,Chained volume measure,aix,Annual index
-11.8,,2020,2020,UKE,Yorkshire and The Humber,G--T,G--T,cvm,Chained volume measure,gra,Annual growth rate
80.4,,2020,2020,UKE,Yorkshire and The Humber,H,H,cvm,Chained volume measure,aix,Annual index
-19.6,,2020,2020,UKE,Yorkshire and The Humber,H,H,cvm,Chained volume measure,gra,Annual growth rate
62.8,,2020,2020,UKE,Yorkshire and The Humber,I,I,cvm,Chained volume measure,aix,Annual index
-37.2,,2020,2020,UKE,Yorkshire and The Humber,I,I,cvm,Chained volume measure,gra,Annual growth rate
98.6,,2020,2020,UKE,Yorkshire and The Humber,J,J,cvm,Chained volume measure,aix,Annual index
-1.4,,2020,2020,UKE,Yorkshire and The Humber,J,J,cvm,Chained volume measure,gra,Annual growth rate
100,,2020,2020,UKE,Yorkshire and The Humber,K,K,cvm,Chained volume measure,aix,Annual index
0,,2020,2020,UKE,Yorkshire and The Humber,K,K,cvm,Chained volume measure,gra,Annual growth rate
99,,2020,2020,UKE,Yorkshire and The Humber,L,L,cvm,Chained volume measure,aix,Annual index
-1,,2020,2020,UKE,Yorkshire and The Humber,L,L,cvm,Chained volume measure,gra,Annual growth rate
87.4,,2020,2020,UKE,Yorkshire and The Humber,M,M,cvm,Chained volume measure,aix,Annual index
-12.6,,2020,2020,UKE,Yorkshire and The Humber,M,M,cvm,Chained volume measure,gra,Annual growth rate
82.2,,2020,2020,UKE,Yorkshire and The Humber,N,N,cvm,Chained volume measure,aix,Annual index
-17.8,,2020,2020,UKE,Yorkshire and The Humber,N,N,cvm,Chained volume measure,gra,Annual growth rate
99.2,,2020,2020,UKE,Yorkshire and The Humber,O,O,cvm,Chained volume measure,aix,Annual index
-0.8,,2020,2020,UKE,Yorkshire and The Humber,O,O,cvm,Chained volume measure,gra,Annual growth rate
77.4,,2020,2020,UKE,Yorkshire and The Humber,P,P,cvm,Chained volume measure,aix,Annual index
-22.6,,2020,2020,UKE,Yorkshire and The Humber,P,P,cvm,Chained volume measure,gra,Annual growth rate
84.9,,2020,2020,UKE,Yorkshire and The Humber,Q,Q,cvm,Chained volume measure,aix,Annual index
-15.1,,2020,2020,UKE,Yorkshire and The Humber,Q,Q,cvm,Chained volume measure,gra,Annual growth rate
72.9,,2020,2020,UKE,Yorkshire and The Humber,R,R,cvm,Chained volume measure,aix,Annual index
-27.1,,2020,2020,UKE,Yorkshire and The Humber,R,R,cvm,Chained volume measure,gra,Annual growth rate
82.6,,2020,2020,UKE,Yorkshire and The Humber,S,S,cvm,Chained volume measure,aix,Annual index
-17.4,,2020,2020,UKE,Yorkshire and The Humber,S,S,cvm,Chained volume measure,gra,Annual growth rate
78.3,,2020,2020,UKE,Yorkshire and The Humber,T,T,cvm,Chained volume measure,aix,Annual index
-21.7,,2020,2020,UKE,Yorkshire and The Humber,T,T,cvm,Chained volume measure,gra,Annual growth rate
91.4,,2020,2020,UKF,East Midlands,A,A,cvm,Chained volume measure,aix,Annual index
-8.6,,2020,2020,UKF,East Midlands,A,A,cvm,Chained volume measure,gra,Annual growth rate
88.4,,2020,2020,UKF,East Midlands,A--T,A--T,cvm,Chained volume measure,aix,Annual index
-11.6,,2020,2020,UKF,East Midlands,A--T,A--T,cvm,Chained volume measure,gra,Annual growth rate
95.8,,2020,2020,UKF,East Midlands,B,B,cvm,Chained volume measure,aix,Annual index
-4.2,,2020,2020,UKF,East Midlands,B,B,cvm,Chained volume measure,gra,Annual growth rate
90.2,,2020,2020,UKF,East Midlands,B--E,B--E,cvm,Chained volume measure,aix,Annual index
-9.8,,2020,2020,UKF,East Midlands,B--E,B--E,cvm,Chained volume measure,gra,Annual growth rate
89.7,,2020,2020,UKF,East Midlands,C,C,cvm,Chained volume measure,aix,Annual index
-10.3,,2020,2020,UKF,East Midlands,C,C,cvm,Chained volume measure,gra,Annual growth rate
89,,2020,2020,UKF,East Midlands,D,D,cvm,Chained volume measure,aix,Annual index
-11,,2020,2020,UKF,East Midlands,D,D,cvm,Chained volume measure,gra,Annual growth rate
98.6,,2020,2020,UKF,East Midlands,E,E,cvm,Chained volume measure,aix,Annual index
-1.4,,2020,2020,UKF,East Midlands,E,E,cvm,Chained volume measure,gra,Annual growth rate
79.3,,2020,2020,UKF,East Midlands,F,F,cvm,Chained volume measure,aix,Annual index
-20.7,,2020,2020,UKF,East Midlands,F,F,cvm,Chained volume measure,gra,Annual growth rate
93.9,,2020,2020,UKF,East Midlands,G,G,cvm,Chained volume measure,aix,Annual index
-6.1,,2020,2020,UKF,East Midlands,G,G,cvm,Chained volume measure,gra,Annual growth rate
88.8,,2020,2020,UKF,East Midlands,G--T,G--T,cvm,Chained volume measure,aix,Annual index
-11.2,,2020,2020,UKF,East Midlands,G--T,G--T,cvm,Chained volume measure,gra,Annual growth rate
84.7,,2020,2020,UKF,East Midlands,H,H,cvm,Chained volume measure,aix,Annual index
-15.3,,2020,2020,UKF,East Midlands,H,H,cvm,Chained volume measure,gra,Annual growth rate
62.7,,2020,2020,UKF,East Midlands,I,I,cvm,Chained volume measure,aix,Annual index
-37.3,,2020,2020,UKF,East Midlands,I,I,cvm,Chained volume measure,gra,Annual growth rate
97.7,,2020,2020,UKF,East Midlands,J,J,cvm,Chained volume measure,aix,Annual index
-2.3,,2020,2020,UKF,East Midlands,J,J,cvm,Chained volume measure,gra,Annual growth rate
100,,2020,2020,UKF,East Midlands,K,K,cvm,Chained volume measure,aix,Annual index
0,,2020,2020,UKF,East Midlands,K,K,cvm,Chained volume measure,gra,Annual growth rate
93.1,,2020,2020,UKF,East Midlands,L,L,cvm,Chained volume measure,aix,Annual index
-6.9,,2020,2020,UKF,East Midlands,L,L,cvm,Chained volume measure,gra,Annual growth rate
84.4,,2020,2020,UKF,East Midlands,M,M,cvm,Chained volume measure,aix,Annual index
-15.6,,2020,2020,UKF,East Midlands,M,M,cvm,Chained volume measure,gra,Annual growth rate
96.2,,2020,2020,UKF,East Midlands,N,N,cvm,Chained volume measure,aix,Annual index
-3.8,,2020,2020,UKF,East Midlands,N,N,cvm,Chained volume measure,gra,Annual growth rate
99.9,,2020,2020,UKF,East Midlands,O,O,cvm,Chained volume measure,aix,Annual index
-0.1,,2020,2020,UKF,East Midlands,O,O,cvm,Chained volume measure,gra,Annual growth rate
77.4,,2020,2020,UKF,East Midlands,P,P,cvm,Chained volume measure,aix,Annual index
-22.6,,2020,2020,UKF,East Midlands,P,P,cvm,Chained volume measure,gra,Annual growth rate
84.1,,2020,2020,UKF,East Midlands,Q,Q,cvm,Chained volume measure,aix,Annual index
-15.9,,2020,2020,UKF,East Midlands,Q,Q,cvm,Chained volume measure,gra,Annual growth rate
77.6,,2020,2020,UKF,East Midlands,R,R,cvm,Chained volume measure,aix,Annual index
