v4_2,CV,CI+/-,calendar-years,Time,uk-only,Geography,age-groups,AgeGroups,sex,Sex,sexual-orientation,SexualOrientation,unit-of-measure,UnitOfMeasure
4.2,c,1.6,2020,2020,K02000001,United Kingdom,16-24,16-24,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
1.2,b,0.2,2020,2020,K02000001,United Kingdom,35-49,35-49,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.6,c,0.2,2020,2020,K02000001,United Kingdom,35-49,35-49,female,Female,other,Other,percentage,Percentage
2.4,b,0.3,2020,2020,K02000001,United Kingdom,50-64,50-64,female,Female,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
94.7,a,0.5,2020,2020,K02000001,United Kingdom,35-49,35-49,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.6,c,0.2,2020,2020,K02000001,United Kingdom,35-49,35-49,male,Male,bisexual,Bisexual,percentage,Percentage
96.7,a,0.3,2020,2020,K02000001,United Kingdom,65+,65+,female,Female,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
0.4,c,0.1,2020,2020,K02000001,United Kingdom,50-64,50-64,male,Male,bisexual,Bisexual,percentage,Percentage
0.4,c,0.1,2020,2020,K02000001,United Kingdom,50-64,50-64,female,Female,bisexual,Bisexual,percentage,Percentage
0.4,c,0.1,2020,2020,K02000001,United Kingdom,65+,65+,female,Female,bisexual,Bisexual,percentage,Percentage
0.8,c,0.3,2020,2020,K02000001,United Kingdom,25-34,25-34,female,Female,other,Other,percentage,Percentage
0.6,c,0.1,2020,2020,K02000001,United Kingdom,65+,65+,male,Male,other,Other,percentage,Percentage
0.3,c,0.1,2020,2020,K02000001,United Kingdom,65+,65+,female,Female,gay-or-lesbian,Gay or lesbian,percentage,Percentage
0.8,c,0.2,2020,2020,K02000001,United Kingdom,35-49,35-49,female,Female,bisexual,Bisexual,percentage,Percentage
0.4,c,0.1,2020,2020,K02000001,United Kingdom,65+,65+,female,Female,other,Other,percentage,Percentage
88.4,a,2.1,2020,2020,K02000001,United Kingdom,16-24,16-24,male,Male,heterosexual-or-straight,Heterosexual or straight,percentage,Percentage
3.1,c,1.1,2020,2020,K02000001,United Kingdom,16-24,16-24,male,Male,bisexual,Bisexual,percentage,Percentage
1,d,0.6,2020,2020,K02000001,United Kingdom,16-24,16-24,male,Male,other,Other,percentage,Percentage
1.9,b,0.2,2020,2020,K02000001,United Kingdom,65+,65+,male,Male,dont-know-or-refuse,Don't know or refuse,percentage,Percentage
7.6,b,1.4,2020,2020,K02000001,United Kingdom,16-24,16-24,female,Female,bisexual,Bisexual,percentage,Percentage
