V4_3,Data Marking,Lower limit,Upper limit,yyyy-yy,Time,administrative-geography,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate
50.16,,45.3,55.03,2019-20,2019-20,S12000046,Glasgow City,worthwhile,Worthwhile,good,Good
33.51,,30.03,36.99,2013-14,2013-14,S12000044,North Lanarkshire,worthwhile,Worthwhile,very-good,Very good
33.12,,25.37,40.88,2016-17,2016-17,E07000049,East Dorset,worthwhile,Worthwhile,very-good,Very good
,x,,,2011-12,2011-12,E07000053,Weymouth and Portland,worthwhile,Worthwhile,poor,Poor
48.42,,37.17,59.69,2015-16,2015-16,E07000053,Weymouth and Portland,worthwhile,Worthwhile,good,Good
47.90,,42.79,52.99,2016-17,2016-17,S12000024,Perth and Kinross,worthwhile,Worthwhile,good,Good
,x,,,2014-15,2014-15,E07000050,North Dorset,worthwhile,Worthwhile,good,Good
15.05,,12.41,17.7,2012-13,2012-13,S12000044,North Lanarkshire,worthwhile,Worthwhile,fair,Fair
43.22,,33.57,52.83,2016-17,2016-17,E07000204,St Edmundsbury,happiness,Happiness,very-good,Very good
37.17,,29.34,45.01,2015-16,2015-16,E07000205,Suffolk Coastal,happiness,Happiness,good,Good
,x,,,2011-12,2011-12,E07000204,St Edmundsbury,happiness,Happiness,poor,Poor
9.87,,7.2,12.54,2019-20,2019-20,E10000009,Dorset,worthwhile,Worthwhile,fair,Fair
,x,,,2016-17,2016-17,E06000053,Isles of Scilly,worthwhile,Worthwhile,poor,Poor
,x,,,2015-16,2015-16,E07000191,West Somerset,worthwhile,Worthwhile,fair,Fair
39.30,,27.22,51.39,2014-15,2014-15,E07000051,Purbeck,worthwhile,Worthwhile,very-good,Very good
36.99,,27.53,46.47,2014-15,2014-15,E07000204,St Edmundsbury,happiness,Happiness,good,Good
,x,,,2019-20,2019-20,E07000204,St Edmundsbury,happiness,Happiness,fair,Fair
,x,,,2016-17,2016-17,E06000053,Isles of Scilly,worthwhile,Worthwhile,very-good,Very good
,x,,,2011-12,2011-12,E07000049,East Dorset,worthwhile,Worthwhile,poor,Poor
15.15,,11.63,18.76,2016-17,2016-17,E06000028,Bournemouth,worthwhile,Worthwhile,fair,Fair
39.15,,30.72,47.57,2019-20,2019-20,E07000049,East Dorset,worthwhile,Worthwhile,very-good,Very good
31.14,,27.62,34.66,2014-15,2014-15,S12000044,North Lanarkshire,worthwhile,Worthwhile,very-good,Very good
3.97,,2.41,5.53,2014-15,2014-15,S12000046,Glasgow City,worthwhile,Worthwhile,poor,Poor
55.74,,51.36,60.12,2014-15,2014-15,S12000046,Glasgow City,worthwhile,Worthwhile,good,Good
,x,,,2017-18,2017-18,E07000190,Taunton Deane,worthwhile,Worthwhile,poor,Poor
,x,,,2016-17,2016-17,S12000044,North Lanarkshire,worthwhile,Worthwhile,poor,Poor
,x,,,2014-15,2014-15,E07000048,Christchurch,worthwhile,Worthwhile,poor,Poor
,x,,,2014-15,2014-15,E07000190,Taunton Deane,worthwhile,Worthwhile,poor,Poor
39.48,,29.52,49.45,2018-19,2018-19,E07000206,Waveney,happiness,Happiness,good,Good
20.89,,17.87,23.9,2013-14,2013-14,E06000028,Bournemouth,happiness,Happiness,fair,Fair
,x,,,2019-20,2019-20,E06000053,Isles of Scilly,worthwhile,Worthwhile,poor,Poor
37.20,,32.72,41.68,2018-19,2018-19,S12000024,Perth and Kinross,worthwhile,Worthwhile,very-good,Very good
15.05,,11.91,18.2,2013-14,2013-14,S12000015,Fife,worthwhile,Worthwhile,fair,Fair
,x,,,2011-12,2011-12,E07000051,Purbeck,worthwhile,Worthwhile,fair,Fair
48.09,,35.44,60.74,2019-20,2019-20,E07000051,Purbeck,worthwhile,Worthwhile,good,Good
40.10,,32.27,47.93,2017-18,2017-18,E07000190,Taunton Deane,worthwhile,Worthwhile,good,Good
49.23,,45.48,52.97,2013-14,2013-14,S12000024,Perth and Kinross,worthwhile,Worthwhile,good,Good
34.53,,20.81,43.35,2013-14,2013-14,E07000052,West Dorset,worthwhile,Worthwhile,very-good,Very good
,x,,,2012-13,2012-13,E07000191,West Somerset,happiness,Happiness,good,Good
27.19,,23.38,31.01,2015-16,2015-16,S12000046,Glasgow City,happiness,Happiness,very-good,Very good
9.75,,7.2,12.3,2018-19,2018-19,S12000046,Glasgow City,happiness,Happiness,poor,Poor
33.87,,24.8,42.95,2012-13,2012-13,E07000053,Weymouth and Portland,happiness,Happiness,very-good,Very good
18.78,,16.07,21.49,2012-13,2012-13,E06000028,Bournemouth,happiness,Happiness,fair,Fair
47.04,,37.47,56.62,2015-16,2015-16,E07000050,North Dorset,happiness,Happiness,good,Good
35.60,,30.95,40.26,2019-20,2019-20,S12000024,Perth and Kinross,happiness,Happiness,very-good,Very good
27.10,,16.43,37.8,2016-17,2016-17,E07000053,Weymouth and Portland,happiness,Happiness,very-good,Very good
19.77,,16.4,23.16,2016-17,2016-17,S12000044,North Lanarkshire,happiness,Happiness,fair,Fair
36.45,,28.32,44.58,2012-13,2012-13,E07000204,St Edmundsbury,anxiety,Anxiety,very-good,Very good
18.85,,15.85,21.85,2012-13,2012-13,S12000046,Glasgow City,happiness,Happiness,fair,Fair
35.78,,32.29,39.27,2011-12,2011-12,S12000044,North Lanarkshire,happiness,Happiness,good,Good
,x,,,2015-16,2015-16,E07000191,West Somerset,happiness,Happiness,poor,Poor
37.0,33.22,40.77,2014-15,2014-15,S12000024,Perth and Kinross,happiness,Happiness,very-good,Very good
28.91,,17.86,39.97,2019-20,2019-20,E07000050,North Dorset,happiness,Happiness,good,Good
39.01,,35.17,42.85,2018-19,2018-19,E10000009,Dorset,happiness,Happiness,very-good,Very good
19.11,,16.29,21.94,2011-12,2011-12,S12000046,Glasgow City,happiness,Happiness,fair,Fair
16.14,,12.74,19.54,2018-19,2018-19,S12000044,North Lanarkshire,happiness,Happiness,fair,Fair
,x,,,2012-13,2012-13,E07000051,Purbeck,happiness,Happiness,fair,Fair
10.75,,7.75,13.76,2018-19,2018-19,S12000024,Perth and Kinross,happiness,Happiness,fair,Fair
,x,,,2015-16,2015-16,E07000051,Purbeck,happiness,Happiness,good,Good
,x,,,2016-17,2016-17,E07000204,St Edmundsbury,anxiety,Anxiety,good,Good
12.90,,9.97,15.84,2017-18,2017-18,S12000024,Perth and Kinross,happiness,Happiness,fair,Fair
,x,,,2011-12,2011-12,E07000051,Purbeck,happiness,Happiness,poor,Poor
,x,,,2011-12,2011-12,E07000048,Christchurch,happiness,Happiness,poor,Poor
18.11,,14.48,21.75,2015-16,2015-16,S12000015,Fife,happiness,Happiness,fair,Fair
16.74,,13.69,19.79,2017-18,2017-18,E06000028,Bournemouth,happiness,Happiness,fair,Fair
,x,,,2014-15,2014-15,E06000053,Isles of Scilly,happiness,Happiness,very-good,Very good
29.48,,21.12,37.86,2016-17,2016-17,E07000050,North Dorset,happiness,Happiness,very-good,Very good
,x,,,2017-18,2017-18,E06000053,Isles of Scilly,happiness,Happiness,good,Good
,x,,,2018-19,2018-19,E07000201,Forest Heath,happiness,Happiness,fair,Fair
,x,,,2017-18,2017-18,E07000201,Forest Heath,happiness,Happiness,good,Good
,x,,,2011-12,2011-12,E07000050,North Dorset,happiness,Happiness,fair,Fair
35.94,,28.43,43.46,2011-12,2011-12,E07000206,Waveney,happiness,Happiness,very-good,Very good
15.45,,12.78,18.11,2015-16,2015-16,E06000028,Bournemouth,anxiety,Anxiety,fair,Fair
,x,,,2015-16,2015-16,E06000053,Isles of Scilly,anxiety,Anxiety,good,Good
30.04,,22.91,37.18,2013-14,2013-14,E07000205,Suffolk Coastal,anxiety,Anxiety,very-good,Very good
27.88,,24.6,31.15,2011-12,2011-12,S12000046,Glasgow City,happiness,Happiness,very-good,Very good
44.02,,34.54,53.46,2015-16,2015-16,E07000190,Taunton Deane,happiness,Happiness,good,Good
42.24,,37.77,46.71,2015-16,2015-16,S12000046,Glasgow City,happiness,Happiness,good,Good
40.17,,35.2,45.14,2018-19,2018-19,S12000024,Perth and Kinross,happiness,Happiness,good,Good
34.28,,30.96,37.61,2011-12,2011-12,E10000009,Dorset,happiness,Happiness,very-good,Very good
17.51,,14.81,20.2,2011-12,2011-12,S12000024,Perth and Kinross,happiness,Happiness,fair,Fair
,x,,,2019-20,2019-20,E07000053,Weymouth and Portland,happiness,Happiness,poor,Poor
43.77,,30.63,56.89,2013-14,2013-14,E07000051,Purbeck,happiness,Happiness,very-good,Very good
41.48,,32.25,50.7,2019-20,2019-20,E07000049,East Dorset,happiness,Happiness,very-good,Very good
14.27,,11.39,17.16,2014-15,2014-15,S12000024,Perth and Kinross,happiness,Happiness,fair,Fair
9.85,,7.17,12.55,2016-17,2016-17,S12000044,North Lanarkshire,happiness,Happiness,poor,Poor
,x,,,2013-14,2013-14,E07000204,St Edmundsbury,happiness,Happiness,poor,Poor
23.34,,15.76,30.91,2011-12,2011-12,E07000048,Christchurch,happiness,Happiness,fair,Fair
19.63,,12.93,26.32,2013-14,2013-14,E07000190,Taunton Deane,anxiety,Anxiety,poor,Poor
45.56,,32.25,58.86,2018-19,2018-19,E07000201,Forest Heath,anxiety,Anxiety,very-good,Very good
41.95,,36.85,47.06,2019-20,2019-20,S12000044,North Lanarkshire,anxiety,Anxiety,very-good,Very good
7.63,,7.26,8.0,2019-20,2019-20,E07000050,North Dorset,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
18.45,,12.43,24.48,2014-15,2014-15,E07000050,North Dorset,anxiety,Anxiety,good,Good
,x,,,2013-14,2013-14,E07000191,West Somerset,anxiety,Anxiety,fair,Fair
14.37,,11.95,16.79,2013-14,2013-14,S12000044,North Lanarkshire,anxiety,Anxiety,fair,Fair
18.20,,11.04,25.37,2014-15,2014-15,E07000190,Taunton Deane,anxiety,Anxiety,poor,Poor
52.24,,40.69,63.8,2015-16,2015-16,E07000051,Purbeck,anxiety,Anxiety,very-good,Very good
26.91,,19.16,34.67,2016-17,2016-17,E07000049,East Dorset,anxiety,Anxiety,good,Good
,x,,,2019-20,2019-20,E07000052,West Dorset,anxiety,Anxiety,good,Good
,x,,,2017-18,2017-18,E07000048,Christchurch,anxiety,Anxiety,fair,Fair
17.92,,11.95,23.89,2016-17,2016-17,E07000052,West Dorset,anxiety,Anxiety,fair,Fair
21.51,,17.48,25.55,2019-20,2019-20,E06000029,Poole,anxiety,Anxiety,good,Good
14.81,,11.54,18.08,2019-20,2019-20,E10000009,Dorset,anxiety,Anxiety,fair,Fair
7.40,,6.94,7.86,2013-14,2013-14,E07000201,Forest Heath,worthwhile,Worthwhile,average-mean,Average (mean)
,x,,,2019-20,2019-20,E07000050,North Dorset,anxiety,Anxiety,poor,Poor
23.05,,15.21,30.9,2012-13,2012-13,E07000051,Purbeck,anxiety,Anxiety,poor,Poor
40.71,,33.08,48.34,2013-14,2013-14,E07000052,West Dorset,anxiety,Anxiety,very-good,Very good
23.70,,14.74,32.66,2017-18,2017-18,E07000051,Purbeck,anxiety,Anxiety,good,Good
55.25,,43.97,66.53,2016-17,2016-17,E07000051,Purbeck,anxiety,Anxiety,very-good,Very good
,x,,,2014-15,2014-15,E07000190,Taunton Deane,anxiety,Anxiety,fair,Fair
7.54,,7.13,7.94,2012-13,2012-13,E07000051,Purbeck,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
,x,,,2011-12,2011-12,E06000053,Isles of Scilly,happiness,Happiness,average-mean,Average (mean)
8.00,,7.74,8.26,2013-14,2013-14,E07000050,North Dorset,worthwhile,Worthwhile,average-mean,Average (mean)
7.62,,7.38,7.86,2012-13,2012-13,E07000052,West Dorset,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.19,,7.04,7.34,2011-12,2011-12,S12000046,Glasgow City,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
8.05,,7.65,8.46,2014-15,2014-15,E07000191,West Somerset,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.67,,7.55,7.79,2013-14,2013-14,E10000009,Dorset,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
24.63,,20.87,28.39,2013-14,2013-14,E10000009,Dorset,anxiety,Anxiety,good,Good
18.45,,14.42,22.49,2018-19,2018-19,S12000024,Perth and Kinross,anxiety,Anxiety,poor,Poor
,x,,,2014-15,2014-15,E07000051,Purbeck,anxiety,Anxiety,poor,Poor
,x,,,2017-18,2017-18,E07000051,Purbeck,anxiety,Anxiety,poor,Poor
14.88,,9.71,20.04,2018-19,2018-19,E07000052,West Dorset,anxiety,Anxiety,fair,Fair
17.42,,20.75,26.87,2011-12,2011-12,S12000024,Perth and Kinross,anxiety,Anxiety,good,Good
23.10,,19.58,26.61,2017-18,2017-18,E06000029,Poole,anxiety,Anxiety,good,Good
7.67,,7.54,7.8,2011-12,2011-12,S12000024,Perth and Kinross,worthwhile,Worthwhile,average-mean,Average (mean)
,x,,,2012-13,2012-13,E06000053,Isles of Scilly,worthwhile,Worthwhile,average-mean,Average (mean)
7.99,,7.76,8.21,2011-12,2011-12,E07000052,West Dorset,worthwhile,Worthwhile,average-mean,Average (mean)
7.91,,7.51,8.32,2019-20,2019-20,E07000051,Purbeck,worthwhile,Worthwhile,average-mean,Average (mean)
,x,,,2011-12,2011-12,E06000053,Isles of Scilly,anxiety,Anxiety,very-good,Very good
31.68,,22.35,41.01,2012-13,2012-13,E07000051,Purbeck,anxiety,Anxiety,very-good,Very good
18.45,,12.03,24.87,2014-15,2014-15,E07000206,Waveney,anxiety,Anxiety,fair,Fair
38.71,,29.4,48.01,2017-18,2017-18,E07000050,North Dorset,anxiety,Anxiety,very-good,Very good
7.93,,7.57,8.28,2015-16,2015-16,E07000206,Waveney,worthwhile,Worthwhile,average-mean,Average (mean)
13.12,,8.16,18.08,2013-14,2013-14,E07000049,East Dorset,anxiety,Anxiety,fair,Fair
7.61,,7.26,7.95,2014-15,2014-15,E07000049,East Dorset,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
17.48,,14.76,20.21,2013-14,2013-14,E06000029,Poole,anxiety,Anxiety,poor,Poor
,x,,,2014-15,2014-15,E07000050,North Dorset,anxiety,Anxiety,fair,Fair
38.27,,29.38,47.16,2017-18,2017-18,E07000049,East Dorset,anxiety,Anxiety,very-good,Very good
42.89,,38.86,46.93,2015-16,2015-16,S12000044,North Lanarkshire,anxiety,Anxiety,very-good,Very good
22.39,,18.94,25.84,2018-19,2018-19,S12000046,Glasgow City,anxiety,Anxiety,poor,Poor
13.41,,8.49,18.33,2012-13,2012-13,E07000052,West Dorset,anxiety,Anxiety,fair,Fair
,x,,,2011-12,2011-12,E07000051,Purbeck,anxiety,Anxiety,fair,Fair
16.66,,13.93,19.38,2014-15,2014-15,E06000029,Poole,anxiety,Anxiety,fair,Fair
7.77,,7.46,8.08,2016-17,2016-17,E07000050,North Dorset,worthwhile,Worthwhile,average-mean,Average (mean)
7.57,,7.15,7.99,2019-20,2019-20,E07000205,Suffolk Coastal,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.94,,7.69,8.18,2013-14,2013-14,E07000049,East Dorset,worthwhile,Worthwhile,average-mean,Average (mean)
16.06,,13.21,18.91,2014-15,2014-15,E06000028,Bournemouth,anxiety,Anxiety,fair,Fair
36.99,,27.74,46.25,2015-16,2015-16,E07000049,East Dorset,anxiety,Anxiety,very-good,Very good
15.97,,13.54,18.39,2011-12,2011-12,E10000009,Dorset,anxiety,Anxiety,fair,Fair
15.12,,10.3,19.94,2012-13,2012-13,E07000049,East Dorset,anxiety,Anxiety,fair,Fair
7.47,,7.13,7.81,2015-16,2015-16,E07000190,Taunton Deane,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.68,,7.55,7.82,2018-19,2018-19,E06000029,Poole,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.54,,7.19,7.89,2013-14,2013-14,E07000206,Waveney,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
7.99,,7.67,8.32,2019-20,2019-20,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
21.40,,18.48,24.33,2012-13,2012-13,S12000044,North Lanarkshire,anxiety,Anxiety,good,Good
22.23,,19.06,25.4,2012-13,2012-13,S12000015,Fife,anxiety,Anxiety,good,Good
,x,,,2016-17,2016-17,E07000051,Purbeck,anxiety,Anxiety,poor,Poor
40.47,,32.33,48.62,2012-13,2012-13,E07000052,West Dorset,anxiety,Anxiety,very-good,Very good
7.78,,7.66,7.9,2017-18,2017-18,E06000028,Bournemouth,worthwhile,Worthwhile,average-mean,Average (mean)
7.85,,7.58,8.13,2016-17,2016-17,E07000052,West Dorset,life-satisfaction,Life Satisfaction,average-mean,Average (mean)
31.86,,27.58,36.15,2014-15,2014-15,E06000028,Bournemouth,anxiety,Anxiety,good,Good
21.88,,16.05,27.71,2013-14,2013-14,E07000052,West Dorset,anxiety,Anxiety,good,Good
32.48,,28.69,36.27,2013-14,2013-14,E06000028,Bournemouth,anxiety,Anxiety,good,Good
17.51,,14.49,20.52,2018-19,2018-19,E10000009,Dorset,anxiety,Anxiety,poor,Poor
2.81,,2.56,3.06,2015-16,2015-16,S12000044,North Lanarkshire,anxiety,Anxiety,average-mean,Average (mean)
7.48,,7.31,7.64,2015-16,2015-16,E06000029,Poole,happiness,Happiness,average-mean,Average (mean)
3.06,,2.81,3.32,2019-20,2019-20,S12000024,Perth and Kinross,anxiety,Anxiety,average-mean,Average (mean)
2.19,,1.45,2.93,2013-14,2013-14,E07000191,West Somerset,anxiety,Anxiety,average-mean,Average (mean)
7.66,,7.37,7.95,2011-12,2011-12,E07000052,West Dorset,happiness,Happiness,average-mean,Average (mean)
4.86,,3.11,6.6,2011-12,2011-12,E06000029,Poole,life-satisfaction,Life Satisfaction,poor,Poor
24.83,,21.3,28.37,2013-14,2013-14,E06000028,Bournemouth,life-satisfaction,Life Satisfaction,fair,Fair
13.34,,10.48,16.2,2017-18,2017-18,E10000009,Dorset,life-satisfaction,Life Satisfaction,fair,Fair
,x,,,2014-15,2014-15,E07000050,North Dorset,life-satisfaction,Life Satisfaction,poor,Poor
,x,,,2011-12,2011-12,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,good,Good
42.24,,33.66,50.82,2013-14,2013-14,E07000206,Waveney,life-satisfaction,Life Satisfaction,good,Good
7.55,,6.97,8.13,2013-14,2013-14,E07000051,Purbeck,happiness,Happiness,average-mean,Average (mean)
3.04,,2.35,3.72,2018-19,2018-19,E07000053,Weymouth and Portland,anxiety,Anxiety,average-mean,Average (mean)
7.31,,6.61,8.01,2019-20,2019-20,E07000201,Forest Heath,happiness,Happiness,average-mean,Average (mean)
2.83,,2.33,3.32,2015-16,2015-16,E07000049,East Dorset,anxiety,Anxiety,average-mean,Average (mean)
7.47,,7.31,7.63,2013-14,2013-14,S12000024,Perth and Kinross,happiness,Happiness,average-mean,Average (mean)
7.58,,7.44,7.73,2014-15,2014-15,E06000029,Poole,happiness,Happiness,average-mean,Average (mean)
14.40,,9.06,19.73,2013-14,2013-14,E07000049,East Dorset,life-satisfaction,Life Satisfaction,fair,Fair
60.32,,49.07,71.52,2016-17,2016-17,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,good,Good
,x,,,2018-19,2018-19,E07000049,East Dorset,life-satisfaction,Life Satisfaction,poor,Poor
35.20,,23.68,33.0,2014-15,2014-15,E07000052,West Dorset,life-satisfaction,Life Satisfaction,very-good,Very good
47.47,,38.56,56.39,2015-16,2015-16,E07000206,Waveney,life-satisfaction,Life Satisfaction,good,Good
32.65,,22.68,32.64,2014-15,2014-15,E07000204,St Edmundsbury,life-satisfaction,Life Satisfaction,very-good,Very good
2.56,,1.86,3.26,2019-20,2019-20,E07000204,St Edmundsbury,anxiety,Anxiety,average-mean,Average (mean)
7.41,,6.84,7.99,2011-12,2011-12,E07000050,North Dorset,happiness,Happiness,average-mean,Average (mean)
7.51,,7.15,7.87,2019-20,2019-20,E07000052,West Dorset,happiness,Happiness,average-mean,Average (mean)
7.41,,7.22,7.6,2018-19,2018-19,E06000028,Bournemouth,happiness,Happiness,average-mean,Average (mean)
7.86,,7.61,8.11,2015-16,2015-16,E07000052,West Dorset,happiness,Happiness,average-mean,Average (mean)
7.83,,7.39,8.26,2019-20,2019-20,E07000050,North Dorset,worthwhile,Worthwhile,average-mean,Average (mean)
7.33,,7.15,7.51,2014-15,2014-15,S12000044,North Lanarkshire,happiness,Happiness,average-mean,Average (mean)
47.61,,43.06,52.16,2018-19,2018-19,S12000044,North Lanarkshire,life-satisfaction,Life Satisfaction,good,Good
33.28,,28.8,37.77,2019-20,2019-20,S12000024,Perth and Kinross,life-satisfaction,Life Satisfaction,very-good,Very good
28.53,,24.56,32.5,2015-16,2015-16,S12000044,North Lanarkshire,life-satisfaction,Life Satisfaction,very-good,Very good
,x,,,2017-18,2017-18,E06000053,Isles of Scilly,life-satisfaction,Life Satisfaction,fair,Fair
,x,,,2015-16,2015-16,E07000191,West Somerset,life-satisfaction,Life Satisfaction,fair,Fair
26.75,,17.01,36.47,2015-16,2015-16,E07000190,Taunton Deane,life-satisfaction,Life Satisfaction,very-good,Very good
,x,,,2012-13,2012-13,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,fair,Fair
,x,,,2013-14,2013-14,E07000050,North Dorset,life-satisfaction,Life Satisfaction,fair,Fair
5.84,,4.07,7.62,2016-17,2016-17,S12000046,Glasgow City,life-satisfaction,Life Satisfaction,poor,Poor
24.79,,16.49,33.1,2012-13,2012-13,E07000204,St Edmundsbury,life-satisfaction,Life Satisfaction,very-good,Very good
51.33,,43.26,59.29,2015-16,2015-16,E07000205,Suffolk Coastal,life-satisfaction,Life Satisfaction,good,Good
7.40,,7.21,7.58,2018-19,2018-19,S12000046,Glasgow City,happiness,Happiness,average-mean,Average (mean)
7.48,,7.28,7.68,2016-17,2016-17,S12000015,Fife,happiness,Happiness,average-mean,Average (mean)
7.71,,7.56,7.87,2018-19,2018-19,E10000009,Dorset,happiness,Happiness,average-mean,Average (mean)
7.50,,7.1,7.91,2016-17,2016-17,E07000053,Weymouth and Portland,happiness,Happiness,average-mean,Average (mean)
28.84,,25.33,32.35,2013-14,2013-14,E10000009,Dorset,life-satisfaction,Life Satisfaction,very-good,Very good
40.38,,29.83,50.92,2012-13,2012-13,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,very-good,Very good
,x,,,2017-18,2017-18,E07000053,Weymouth and Portland,life-satisfaction,Life Satisfaction,poor,Poor
,x,,,2017-18,2017-18,E06000053,Isles of Scilly,life-satisfaction,Life Satisfaction,poor,Poor
49.43,,39.96,58.9,2013-14,2013-14,E07000190,Taunton Deane,life-satisfaction,Life Satisfaction,good,Good
16.75,,13.52,19.98,2016-17,2016-17,S12000046,Glasgow City,life-satisfaction,Life Satisfaction,fair,Fair
12.83,,9.96,15.93,2013-14,2013-14,E06000029,Poole,worthwhile,Worthwhile,fair,Fair
,x,,,2018-19,2018-19,E07000050,North Dorset,worthwhile,Worthwhile,poor,Poor
,x,,,2015-16,2015-16,E07000052,West Dorset,worthwhile,Worthwhile,poor,Poor
37.38,,30.04,44.71,2014-15,2014-15,E07000052,West Dorset,happiness,Happiness,good,Good
32.76,,22.7,42.82,2019-20,2019-20,E07000190,Taunton Deane,happiness,Happiness,very-good,Very good
33.30,,29.26,37.34,2015-16,2015-16,S12000044,North Lanarkshire,happiness,Happiness,very-good,Very good
32.03,,27.54,36.52,2017-18,2017-18,S12000015,Fife,worthwhile,Worthwhile,very-good,Very good
49.13,,44.38,53.87,2017-18,2017-18,S12000015,Fife,worthwhile,Worthwhile,good,Good
,x,,,2011-12,2011-12,E06000053,Isles of Scilly,worthwhile,Worthwhile,very-good,Very good
31.12,,19.85,42.38,2018-19,2018-19,E07000048,Christchurch,worthwhile,Worthwhile,very-good,Very good
,x,,,2013-14,2013-14,E07000053,Weymouth and Portland,worthwhile,Worthwhile,fair,Fair
,x,,,2015-16,2015-16,E07000050,North Dorset,worthwhile,Worthwhile,good,Good
,x,,,2019-20,2019-20,E07000049,East Dorset,worthwhile,Worthwhile,poor,Poor
,x,,,2017-18,2017-18,E07000206,Waveney,worthwhile,Worthwhile,fair,Fair
40.19,,36.7,43.68,2011-12,2011-12,E10000009,Dorset,happiness,Happiness,good,Good
,x,,,2018-19,2018-19,E07000204,St Edmundsbury,happiness,Happiness,fair,Fair
,x,,,2019-20,2019-20,E07000205,Suffolk Coastal,happiness,Happiness,poor,Poor
35.09,,24.26,45.93,2018-19,2018-19,E07000053,Weymouth and Portland,worthwhile,Worthwhile,very-good,Very good
,x,,,2014-15,2014-15,E07000051,Purbeck,worthwhile,Worthwhile,poor,Poor
12.19,,0.0,0.0,2011-12,2011-12,S12000015,Fife,worthwhile,Worthwhile,fair,Fair
,x,,,2018-19,2018-19,E07000204,St Edmundsbury,worthwhile,Worthwhile,poor,Poor
38.15,,29.23,47.05,2016-17,2016-17,E07000190,Taunton Deane,happiness,Happiness,very-good,Very good
,x,,,2015-16,2015-16,E07000050,North Dorset,happiness,Happiness,poor,Poor
,x,,,2019-20,2019-20,E07000053,Weymouth and Portland,worthwhile,Worthwhile,poor,Poor
13.82,,11.02,16.61,2015-16,2015-16,S12000044,North Lanarkshire,worthwhile,Worthwhile,fair,Fair
48.0,44.33,51.67,2014-15,2014-15,E10000009,Dorset,worthwhile,Worthwhile,good,Good
,x,,,2011-12,2011-12,E07000191,West Somerset,worthwhile,Worthwhile,fair,Fair
,x,,,2016-17,2016-17,E07000048,Christchurch,worthwhile,Worthwhile,poor,Poor
5.14,,3.46,6.83,2013-14,2013-14,E06000028,Bournemouth,worthwhile,Worthwhile,poor,Poor
,x,,,2011-12,2011-12,E07000201,Forest Heath,worthwhile,Worthwhile,poor,Poor
41.82,,37.61,46.03,2017-18,2017-18,S12000044,North Lanarkshire,happiness,Happiness,good,Good
,x,,,2018-19,2018-19,E07000205,Suffolk Coastal,happiness,Happiness,fair,Fair
,x,,,2012-13,2012-13,E07000190,Taunton Deane,happiness,Happiness,very-good,Very good
14.54,,11.06,18.01,2017-18,2017-18,S12000015,Fife,worthwhile,Worthwhile,fair,Fair
51.40,,47.76,55.04,2012-13,2012-13,S12000024,Perth and Kinross,worthwhile,Worthwhile,good,Good
7.94,,7.52,8.37,2017-18,2017-18,E07000051,Purbeck,worthwhile,Worthwhile,average-mean,Average (mean)
7.48,,7.22,7.74,2012-13,2012-13,E07000052,West Dorset,happiness,Happiness,average-mean,Average (mean)
8.22,,7.75,8.68,2016-17,2016-17,E07000191,West Somerset,worthwhile,Worthwhile,average-mean,Average (mean)
7.92,,7.8,8.05,2017-18,2017-18,E06000029,Poole,worthwhile,Worthwhile,average-mean,Average (mean)
,x,,,2018-19,2018-19,E07000050,North Dorset,anxiety,Anxiety,good,Good
,x,,,2012-13,2012-13,E07000051,Purbeck,anxiety,Anxiety,good,Good
14.03,,11.27,16.78,2013-14,2013-14,E10000009,Dorset,anxiety,Anxiety,fair,Fair
,x,,,2015-16,2015-16,E07000053,Weymouth and Portland,anxiety,Anxiety,good,Good
,x,,,2012-13,2012-13,E07000190,Taunton Deane,anxiety,Anxiety,very-good,Very good
29.05,,23.17,34.92,2012-13,2012-13,E07000049,East Dorset,anxiety,Anxiety,good,Good
2.71,,2.51,2.92,2013-14,2013-14,S12000024,Perth and Kinross,anxiety,Anxiety,average-mean,Average (mean)
,x,,,2016-17,2016-17,E06000053,Isles of Scilly,worthwhile,Worthwhile,average-mean,Average (mean)
7.88,,7.47,8.29,2011-12,2011-12,E07000051,Purbeck,happiness,Happiness,average-mean,Average (mean)
18.08,,13.46,22.7,2016-17,2016-17,S12000024,Perth and Kinross,anxiety,Anxiety,fair,Fair
