V4_3,Data Marking,Lower limit,Upper limit,yyyy-yy,Time,administrative-geography,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate
30.38,,26.33,34.42,2016-17,2016-17,S12000044,North Lanarkshire,life-satisfaction,Life Satisfaction,very-good,Very good
38.01,,24.46,51.55,2011-12,2011-12,E07000201,Forest Heath,life-satisfaction,Life Satisfaction,very-good,Very good
,x,,,2012-13,2012-13,E07000205,Suffolk Coastal,life-satisfaction,Life Satisfaction,fair,Fair
13.19,,10.82,15.55,2013-14,2013-14,E10000009,Dorset,life-satisfaction,Life Satisfaction,fair,Fair
,x,,,2013-14,2013-14,E07000201,Forest Heath,happiness,Happiness,fair,Fair
39.02,,30.63,47.42,2011-12,2011-12,E07000050,North Dorset,happiness,Happiness,good,Good
,x,,,2017-18,2017-18,E07000190,Taunton Deane,worthwhile,Worthwhile,fair,Fair
13.83,,10.83,16.83,2018-19,2018-19,S12000046,Glasgow City,worthwhile,Worthwhile,fair,Fair
,x,,,2019-20,2019-20,E07000191,West Somerset,worthwhile,Worthwhile,good,Good
27.84,,24.39,31.3,2012-13,2012-13,S12000046,Glasgow City,worthwhile,Worthwhile,very-good,Very good
43.93,,34.15,53.72,2012-13,2012-13,E07000048,Christchurch,happiness,Happiness,good,Good
,x,,,2016-17,2016-17,E07000052,West Dorset,life-satisfaction,Life Satisfaction,fair,Fair
28.46,,20.51,36.41,2015-16,2015-16,E07000049,East Dorset,life-satisfaction,Life Satisfaction,very-good,Very good
52.27,,47.53,57.01,2019-20,2019-20,S12000015,Fife,life-satisfaction,Life Satisfaction,good,Good
14.82,,12.41,17.23,2012-13,2012-13,E10000009,Dorset,life-satisfaction,Life Satisfaction,fair,Fair
,x,,,2015-16,2015-16,E07000052,West Dorset,life-satisfaction,Life Satisfaction,poor,Poor
9.93,,6.16,13.71,2013-14,2013-14,E07000052,West Dorset,life-satisfaction,Life Satisfaction,fair,Fair
,x,,,2015-16,2015-16,E07000201,Forest Heath,life-satisfaction,Life Satisfaction,fair,Fair
