FeatureCode,DateCode,Measurement,Units,Value
E01019254,2010,IMD rank,ordinal-position,22436
E01022533,2010,IMD rank,ordinal-position,27565
E01005923,2010,IMD rank,ordinal-position,32205
E01017973,2010,IMD rank,ordinal-position,13611
E01029033,2010,IMD rank,ordinal-position,22723
E01021050,2010,IMD rank,ordinal-position,10463
E01004440,2010,IMD rank,ordinal-position,5953
E01016490,2010,IMD rank,ordinal-position,2418
E01014879,2010,IMD rank,ordinal-position,31923
E01004227,2010,IMD rank,ordinal-position,5165
E01016277,2010,IMD rank,ordinal-position,31304
E01013396,2010,IMD rank,ordinal-position,17552
E01015702,2010,IMD rank,ordinal-position,8072
E01027752,2010,IMD rank,ordinal-position,17645
E01017100,2010,IMD rank,ordinal-position,20819
E01027539,2010,IMD rank,ordinal-position,2159
E01002946,2010,IMD rank,ordinal-position,24824
E01026056,2010,IMD rank,ordinal-position,9654
E01014006,2010,IMD rank,ordinal-position,19678
E01009446,2010,IMD rank,ordinal-position,18742
E01001463,2010,IMD rank,ordinal-position,12877
E01032216,2010,IMD rank,ordinal-position,23849
E01012725,2010,IMD rank,ordinal-position,13606
E01024775,2010,IMD rank,ordinal-position,7558
E01030935,2010,IMD rank,ordinal-position,31271
E01011242,2010,IMD rank,ordinal-position,7737
E01023292,2010,IMD rank,ordinal-position,29647
E01006682,2010,IMD rank,ordinal-position,27599
E01011029,2010,IMD rank,ordinal-position,485
E01023079,2010,IMD rank,ordinal-position,19884
E01006469,2010,IMD rank,ordinal-position,56
E01029994,2010,IMD rank,ordinal-position,1148
E01019342,2010,IMD rank,ordinal-position,26947
E01021798,2010,IMD rank,ordinal-position,28114
E01019129,2010,IMD rank,ordinal-position,22942
E01028298,2010,IMD rank,ordinal-position,18889
E01022621,2010,IMD rank,ordinal-position,14368
E01022408,2010,IMD rank,ordinal-position,27293
E01029121,2010,IMD rank,ordinal-position,21255
E01017848,2010,IMD rank,ordinal-position,31872
E01014967,2010,IMD rank,ordinal-position,32066
E01004315,2010,IMD rank,ordinal-position,2111
E01016365,2010,IMD rank,ordinal-position,17742
E01013484,2010,IMD rank,ordinal-position,2307
E01027840,2010,IMD rank,ordinal-position,10519
E01027627,2010,IMD rank,ordinal-position,23574
E01031694,2010,IMD rank,ordinal-position,28722
E01026144,2010,IMD rank,ordinal-position,13083
E01009534,2010,IMD rank,ordinal-position,6729
E01001551,2010,IMD rank,ordinal-position,4426
E01001338,2010,IMD rank,ordinal-position,6289
E01032304,2010,IMD rank,ordinal-position,3174
E01008051,2010,IMD rank,ordinal-position,14346
E01012813,2010,IMD rank,ordinal-position,25799
E01024863,2010,IMD rank,ordinal-position,4188
E01011330,2010,IMD rank,ordinal-position,9044
E01023380,2010,IMD rank,ordinal-position,31131
E01006770,2010,IMD rank,ordinal-position,1612
E01011117,2010,IMD rank,ordinal-position,28809
E01023167,2010,IMD rank,ordinal-position,25529
E01006557,2010,IMD rank,ordinal-position,8817
E01005074,2010,IMD rank,ordinal-position,3181
E01019430,2010,IMD rank,ordinal-position,24902
E01029869,2010,IMD rank,ordinal-position,16619
E01021886,2010,IMD rank,ordinal-position,21867
E01019217,2010,IMD rank,ordinal-position,12319
E01028386,2010,IMD rank,ordinal-position,24804
E01003793,2010,IMD rank,ordinal-position,8919
E01017936,2010,IMD rank,ordinal-position,30356
E01000699,2010,IMD rank,ordinal-position,10515
E01021013,2010,IMD rank,ordinal-position,12211
E01002097,2010,IMD rank,ordinal-position,3380
E01004403,2010,IMD rank,ordinal-position,5104
E01016453,2010,IMD rank,ordinal-position,10230
E01013572,2010,IMD rank,ordinal-position,10159
E01013359,2010,IMD rank,ordinal-position,11009
E01027715,2010,IMD rank,ordinal-position,31075
E01008799,2010,IMD rank,ordinal-position,22263
E01031782,2010,IMD rank,ordinal-position,19823
E01031569,2010,IMD rank,ordinal-position,11690
E01002909,2010,IMD rank,ordinal-position,3255
E01026232,2010,IMD rank,ordinal-position,14211
E01009622,2010,IMD rank,ordinal-position,3329
E01030086,2010,IMD rank,ordinal-position,25146
E01026019,2010,IMD rank,ordinal-position,9752
E01009409,2010,IMD rank,ordinal-position,4425
E01001426,2010,IMD rank,ordinal-position,3848
E01010595,2010,IMD rank,ordinal-position,9973
E01012901,2010,IMD rank,ordinal-position,12678
E01024951,2010,IMD rank,ordinal-position,3742
E01024738,2010,IMD rank,ordinal-position,19787
E01011205,2010,IMD rank,ordinal-position,22225
E01023255,2010,IMD rank,ordinal-position,17553
E01006645,2010,IMD rank,ordinal-position,258
E01018695,2010,IMD rank,ordinal-position,29759
E01005162,2010,IMD rank,ordinal-position,8912
E01029957,2010,IMD rank,ordinal-position,25436
E01021974,2010,IMD rank,ordinal-position,11299
E01019305,2010,IMD rank,ordinal-position,16516
E01028474,2010,IMD rank,ordinal-position,19830
E01020491,2010,IMD rank,ordinal-position,24677
E01003881,2010,IMD rank,ordinal-position,29542
E01020278,2010,IMD rank,ordinal-position,15559
E01003668,2010,IMD rank,ordinal-position,20952
E01000787,2010,IMD rank,ordinal-position,10813
E01021101,2010,IMD rank,ordinal-position,12922
E01002185,2010,IMD rank,ordinal-position,6807
E01016541,2010,IMD rank,ordinal-position,31135
E01013660,2010,IMD rank,ordinal-position,7814
E01016328,2010,IMD rank,ordinal-position,20126
E01027803,2010,IMD rank,ordinal-position,13910
E01013447,2010,IMD rank,ordinal-position,6434
E01025497,2010,IMD rank,ordinal-position,27083
E01008887,2010,IMD rank,ordinal-position,3843
E01031870,2010,IMD rank,ordinal-position,27156
E01031657,2010,IMD rank,ordinal-position,17336
E01026320,2010,IMD rank,ordinal-position,28727
E01009710,2010,IMD rank,ordinal-position,17415
E01030174,2010,IMD rank,ordinal-position,20327
E01026107,2010,IMD rank,ordinal-position,18636
E01001514,2010,IMD rank,ordinal-position,12793
E01010683,2010,IMD rank,ordinal-position,28100
E01008014,2010,IMD rank,ordinal-position,4269
E01024826,2010,IMD rank,ordinal-position,26370
E01023343,2010,IMD rank,ordinal-position,7686
E01006733,2010,IMD rank,ordinal-position,3656
E01018783,2010,IMD rank,ordinal-position,16352
E01005250,2010,IMD rank,ordinal-position,1914
E01015689,2010,IMD rank,ordinal-position,29654
E01005037,2010,IMD rank,ordinal-position,21879
E01017087,2010,IMD rank,ordinal-position,12254
E01021849,2010,IMD rank,ordinal-position,10896
E01028562,2010,IMD rank,ordinal-position,18282
E01028349,2010,IMD rank,ordinal-position,21169
