FeatureCode,DateCode,Measurement,Units,Value
E01021886,2010,IMD score,,11.73
E01019217,2010,IMD score,,22.34
E01028386,2010,IMD score,,9.41
E01003793,2010,IMD score,,28.44
E01017936,2010,IMD score,,4.7
E01000699,2010,IMD score,,25.27
E01021013,2010,IMD score,,22.5
E01002097,2010,IMD score,,44.29
E01004403,2010,IMD score,,38.24
E01016453,2010,IMD score,,25.81
E01013572,2010,IMD score,,25.97
E01013359,2010,IMD score,,24.44
E01027715,2010,IMD score,,3.95
E01008799,2010,IMD score,,11.37
E01031782,2010,IMD score,,13.48
E01031569,2010,IMD score,,23.34
E01002909,2010,IMD score,,44.86
E01026232,2010,IMD score,,19.7
E01009622,2010,IMD score,,44.55
E01030086,2010,IMD score,,9.16
E01026019,2010,IMD score,,26.75
E01009409,2010,IMD score,,40.49
E01001426,2010,IMD score,,42.44
E01010595,2010,IMD score,,26.33
E01012901,2010,IMD score,,21.79
E01024951,2010,IMD score,,42.84
E01024738,2010,IMD score,,13.51
E01011205,2010,IMD score,,11.41
E01023255,2010,IMD score,,15.76
E01006645,2010,IMD score,,69.57
E01018695,2010,IMD score,,5.27
E01005162,2010,IMD score,,28.45
E01029957,2010,IMD score,,8.93
E01021974,2010,IMD score,,23.96
E01019305,2010,IMD score,,16.95
E01028474,2010,IMD score,,13.47
E01020491,2010,IMD score,,9.51
E01003881,2010,IMD score,,5.49
E01020278,2010,IMD score,,18.03
E01003668,2010,IMD score,,12.49
E01000787,2010,IMD score,,24.76
E01021101,2010,IMD score,,21.43
E01002185,2010,IMD score,,33.29
E01016541,2010,IMD score,,3.88
E01013660,2010,IMD score,,30.88
E01016328,2010,IMD score,,13.22
E01027803,2010,IMD score,,20.12
E01013447,2010,IMD score,,34.35
E01025497,2010,IMD score,,7.58
E01008887,2010,IMD score,,42.47
E01031870,2010,IMD score,,7.53
E01031657,2010,IMD score,,15.99
E01026320,2010,IMD score,,6.24
E01009710,2010,IMD score,,15.91
E01030174,2010,IMD score,,13.06
E01026107,2010,IMD score,,14.58
E01001514,2010,IMD score,,21.63
E01010683,2010,IMD score,,6.78
E01008014,2010,IMD score,,40.97
E01024826,2010,IMD score,,8.19
E01023343,2010,IMD score,,31.16
E01006733,2010,IMD score,,43.16
E01018783,2010,IMD score,,17.13
E01005250,2010,IMD score,,51.58
E01015689,2010,IMD score,,5.4
E01005037,2010,IMD score,,11.72
E01017087,2010,IMD score,,22.45
E01021849,2010,IMD score,,24.62
E01028562,2010,IMD score,,14.96
E01028349,2010,IMD score,,12.3
E01020366,2010,IMD score,,5.27
E01003756,2010,IMD score,,19.03
E01002273,2010,IMD score,,10.85
E01016416,2010,IMD score,,19.15
E01025585,2010,IMD score,,13.62
E01013535,2010,IMD score,,52.7
E01008975,2010,IMD score,,19.3
E01000992,2010,IMD score,,37.5
E01000002,2010,IMD score,,5.59
E01012052,2010,IMD score,,18.48
E01031745,2010,IMD score,,3.9
E01007492,2010,IMD score,,44.12
E01030262,2010,IMD score,,30.52
E01007279,2010,IMD score,,9.73
E01001602,2010,IMD score,,36.37
E01030049,2010,IMD score,,10.62
E01010771,2010,IMD score,,3.14
E01008102,2010,IMD score,,58.91
E01010558,2010,IMD score,,19.29
E01024914,2010,IMD score,,9.83
E01005998,2010,IMD score,,26.37
E01023431,2010,IMD score,,12.19
E01006821,2010,IMD score,,52.94
E01018871,2010,IMD score,,21.25
E01023218,2010,IMD score,,4.18
E01015990,2010,IMD score,,15.93
E01006608,2010,IMD score,,40.59
E01018658,2010,IMD score,,3.55
E01015777,2010,IMD score,,18.6
E01005125,2010,IMD score,,39.69
E01017175,2010,IMD score,,12.88
E01021937,2010,IMD score,,4.52
E01014294,2010,IMD score,,32.12
E01028650,2010,IMD score,,7.23
E01028437,2010,IMD score,,11.24
E01020454,2010,IMD score,,20.03
E01003844,2010,IMD score,,7.86
E01002361,2010,IMD score,,19.17
E01002148,2010,IMD score,,8.96
E01016504,2010,IMD score,,14.47
E01013623,2010,IMD score,,24.22
E01025673,2010,IMD score,,15.87
E01031833,2010,IMD score,,27.61
E01012140,2010,IMD score,,20.19
E01000867,2010,IMD score,,36.19
E01024190,2010,IMD score,,23.2
E01007580,2010,IMD score,,26.12
E01007367,2010,IMD score,,46.66
E01030350,2010,IMD score,,2.92
E01030137,2010,IMD score,,13.37
E01010646,2010,IMD score,,6.72
E01022696,2010,IMD score,,4.88
E01029196,2010,IMD score,,15.05
E01023306,2010,IMD score,,11.39
E01018746,2010,IMD score,,24.18
E01015865,2010,IMD score,,17.94
E01005213,2010,IMD score,,55.72
E01017263,2010,IMD score,,23.88
E01014382,2010,IMD score,,7.55
E01014169,2010,IMD score,,27.31
E01028525,2010,IMD score,,29.95
E01020542,2010,IMD score,,11.53
E01003932,2010,IMD score,,39.41
E01032379,2010,IMD score,,6.69
E01020329,2010,IMD score,,17.32
E01003719,2010,IMD score,,25.6
E01027042,2010,IMD score,,7.74
E01000838,2010,IMD score,,7.6
E01012888,2010,IMD score,,51.56
E01002236,2010,IMD score,,25.07
E01013711,2010,IMD score,,24.57
E01025761,2010,IMD score,,7.52
E01025548,2010,IMD score,,13.48
E01008938,2010,IMD score,,49.11
E01000955,2010,IMD score,,35.11
E01031921,2010,IMD score,,3.06
E01031708,2010,IMD score,,15.28
E01012015,2010,IMD score,,50.65
E01024065,2010,IMD score,,17.24
E01007455,2010,IMD score,,13.94
E01030225,2010,IMD score,,23.94
E01010734,2010,IMD score,,50.16
E01022784,2010,IMD score,,3.49
E01029284,2010,IMD score,,30.58
E01004691,2010,IMD score,,14.81
E01021088,2010,IMD score,,19.21
E01004478,2010,IMD score,,6.63
E01018834,2010,IMD score,,19.39
E01015953,2010,IMD score,,18.8
E01005301,2010,IMD score,,20.4
E01017351,2010,IMD score,,11.03
E01014470,2010,IMD score,,6.93
E01017138,2010,IMD score,,18.06
E01028613,2010,IMD score,,3.95
E01014257,2010,IMD score,,31.46
E01020630,2010,IMD score,,29.18
E01009697,2010,IMD score,,11.78
E01032467,2010,IMD score,,9.59
E01020417,2010,IMD score,,5.76
E01003807,2010,IMD score,,8.6
E01027130,2010,IMD score,,21.32
E01012976,2010,IMD score,,24.99
E01002324,2010,IMD score,,18.99
E01011493,2010,IMD score,,48.99
E01025636,2010,IMD score,,10.44
E01012103,2010,IMD score,,22.01
E01024153,2010,IMD score,,4.96
E01007543,2010,IMD score,,60.58
E01019593,2010,IMD score,,8.45
E01030313,2010,IMD score,,8.66
E01006060,2010,IMD score,,46.89
E01010822,2010,IMD score,,70.1
E01022872,2010,IMD score,,2.53
E01010609,2010,IMD score,,44.71
E01022659,2010,IMD score,,7.15
