FeatureCode,DateCode,Measurement,Units,Value,Tenure
E07000035,2022 Q1,Completions,building-completions,0,Local Authority
E07000035,Year ending 2022-03-31,Completions,building-completions,0,Local Authority
E07000035,Year ending 2022-03-31,Completions,building-completions,250,Private Enterprise
E07000035,2022 Q1,Completions,building-completions,50,Private Enterprise
E07000035,Year ending 2022-06-30,Completions,building-completions,220,Private Enterprise
E07000035,2022 Q2,Completions,building-completions,50,Private Enterprise
E07000035,2022 Q3,Completions,building-completions,50,Private Enterprise
E07000035,Year ending 2022-09-30,Completions,building-completions,200,Private Enterprise
E07000035,2022 Q3,Completions,building-completions,50,All
E07000035,Year ending 2022-09-30,Completions,building-completions,210,All
E07000035,Year ending 2022-03-31,Completions,building-completions,270,All
E07000035,2022 Q1,Completions,building-completions,50,All
E07000035,2022 Q2,Completions,building-completions,60,All
E07000035,Year ending 2022-06-30,Completions,building-completions,230,All
E07000196,2022 Q1,Completions,building-completions,40,Housing Association
E07000196,Year ending 2022-03-31,Completions,building-completions,140,Housing Association
E07000196,Year ending 2022-09-30,Completions,building-completions,120,Housing Association
E07000196,2022 Q3,Completions,building-completions,20,Housing Association
E07000196,2022 Q2,Completions,building-completions,30,Housing Association
E07000196,Year ending 2022-06-30,Completions,building-completions,120,Housing Association
E07000196,2022 Q2,Completions,building-completions,0,Local Authority
E07000196,2022 Q3,Completions,building-completions,0,Local Authority
E07000196,Year ending 2022-09-30,Completions,building-completions,0,Local Authority
E07000196,Year ending 2022-06-30,Completions,building-completions,0,Local Authority
E07000196,2022 Q1,Completions,building-completions,0,Local Authority
E07000196,Year ending 2022-03-31,Completions,building-completions,0,Local Authority
E07000196,Year ending 2022-03-31,Completions,building-completions,290,Private Enterprise
E07000196,2022 Q1,Completions,building-completions,60,Private Enterprise
E07000196,Year ending 2022-06-30,Completions,building-completions,320,Private Enterprise
E07000196,2022 Q2,Completions,building-completions,100,Private Enterprise
E07000196,Year ending 2022-09-30,Completions,building-completions,330,Private Enterprise
E07000196,2022 Q3,Completions,building-completions,100,Private Enterprise
E07000196,Year ending 2022-09-30,Completions,building-completions,450,All
E07000196,2022 Q3,Completions,building-completions,120,All
E07000196,Year ending 2022-03-31,Completions,building-completions,430,All
E07000196,2022 Q1,Completions,building-completions,100,All
E07000196,2022 Q2,Completions,building-completions,120,All
E07000196,Year ending 2022-06-30,Completions,building-completions,440,All
E06000051,Year ending 2022-03-31,Completions,building-completions,50,Housing Association
E06000051,2022 Q1,Completions,building-completions,0,Housing Association
E06000051,2022 Q3,Completions,building-completions,0,Housing Association
E06000051,Year ending 2022-09-30,Completions,building-completions,50,Housing Association
E06000051,2022 Q2,Completions,building-completions,20,Housing Association
E06000051,Year ending 2022-06-30,Completions,building-completions,50,Housing Association
E06000051,2022 Q2,Completions,building-completions,0,Local Authority
E06000051,Year ending 2022-09-30,Completions,building-completions,0,Local Authority
E06000051,2022 Q3,Completions,building-completions,0,Local Authority
E06000051,Year ending 2022-06-30,Completions,building-completions,0,Local Authority
E06000051,Year ending 2022-03-31,Completions,building-completions,0,Local Authority
E06000051,2022 Q1,Completions,building-completions,0,Local Authority
E06000051,2022 Q1,Completions,building-completions,250,Private Enterprise
E06000051,Year ending 2022-03-31,Completions,building-completions,980,Private Enterprise
E06000051,Year ending 2022-06-30,Completions,building-completions,940,Private Enterprise
E06000051,2022 Q2,Completions,building-completions,180,Private Enterprise
E06000051,2022 Q3,Completions,building-completions,220,Private Enterprise
E06000051,Year ending 2022-09-30,Completions,building-completions,980,Private Enterprise
E06000051,2022 Q3,Completions,building-completions,220,All
E06000051,Year ending 2022-09-30,Completions,building-completions,1020,All
E06000051,2022 Q1,Completions,building-completions,250,All
E06000051,Year ending 2022-03-31,Completions,building-completions,1030,All
E06000051,2022 Q2,Completions,building-completions,200,All
E06000051,Year ending 2022-06-30,Completions,building-completions,990,All
E07000195,Year ending 2022-03-31,Completions,building-completions,30,Housing Association
E07000195,2022 Q1,Completions,building-completions,0,Housing Association
E07000195,Year ending 2022-09-30,Completions,building-completions,60,Housing Association
E07000195,2022 Q3,Completions,building-completions,20,Housing Association
E07000195,2022 Q2,Completions,building-completions,20,Housing Association
E07000195,Year ending 2022-06-30,Completions,building-completions,40,Housing Association
E07000195,2022 Q2,Completions,building-completions,0,Local Authority
E07000195,2022 Q3,Completions,building-completions,0,Local Authority
E07000195,Year ending 2022-09-30,Completions,building-completions,0,Local Authority
E07000195,Year ending 2022-06-30,Completions,building-completions,0,Local Authority
E07000195,Year ending 2022-03-31,Completions,building-completions,0,Local Authority
E07000195,2022 Q1,Completions,building-completions,0,Local Authority
E07000195,2022 Q1,Completions,building-completions,30,Private Enterprise
E07000195,Year ending 2022-03-31,Completions,building-completions,190,Private Enterprise
E07000195,Year ending 2022-06-30,Completions,building-completions,190,Private Enterprise
E07000195,2022 Q2,Completions,building-completions,40,Private Enterprise
E07000195,Year ending 2022-09-30,Completions,building-completions,210,Private Enterprise
E07000195,2022 Q3,Completions,building-completions,70,Private Enterprise
E07000195,Year ending 2022-09-30,Completions,building-completions,270,All
E07000195,2022 Q3,Completions,building-completions,80,All
E07000195,2022 Q1,Completions,building-completions,40,All
E07000195,Year ending 2022-03-31,Completions,building-completions,220,All
E07000195,2022 Q2,Completions,building-completions,70,All
E07000195,Year ending 2022-06-30,Completions,building-completions,230,All
E06000049,2022 Q1,Completions,building-completions,60,Housing Association
E06000049,Year ending 2022-03-31,Completions,building-completions,290,Housing Association
E06000049,2022 Q3,Completions,building-completions,60,Housing Association
E06000049,Year ending 2022-09-30,Completions,building-completions,260,Housing Association
E06000049,Year ending 2022-06-30,Completions,building-completions,240,Housing Association
E06000049,2022 Q2,Completions,building-completions,30,Housing Association
E06000049,Year ending 2022-06-30,Completions,building-completions,0,Local Authority
E06000049,Year ending 2022-09-30,Completions,building-completions,0,Local Authority
E06000049,2022 Q3,Completions,building-completions,0,Local Authority
E06000049,2022 Q2,Completions,building-completions,0,Local Authority
E06000049,2022 Q1,Completions,building-completions,0,Local Authority
E06000049,Year ending 2022-03-31,Completions,building-completions,0,Local Authority
E06000049,Year ending 2022-03-31,Completions,building-completions,1250,Private Enterprise
E06000049,2022 Q1,Completions,building-completions,280,Private Enterprise
E06000049,2022 Q2,Completions,building-completions,390,Private Enterprise
E06000049,Year ending 2022-06-30,Completions,building-completions,1320,Private Enterprise
E06000049,2022 Q3,Completions,building-completions,300,Private Enterprise
E06000049,Year ending 2022-09-30,Completions,building-completions,1340,Private Enterprise
E06000049,2022 Q3,Completions,building-completions,360,All
E06000049,Year ending 2022-09-30,Completions,building-completions,1600,All
E06000049,Year ending 2022-03-31,Completions,building-completions,1540,All
E06000049,2022 Q1,Completions,building-completions,340,All
E06000049,Year ending 2022-06-30,Completions,building-completions,1560,All
E06000049,2022 Q2,Completions,building-completions,430,All
